Country Name,Country Code,2021 [YR2021] - Gini index [SI.POV.GINI],2021 [YR2021] - GDP per capita (current US$) [NY.GDP.PCAP.CD],"2021 [YR2021] - Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","2021 [YR2021] - Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]",2021 [YR2021] - Individuals using the Internet (% of population) [IT.NET.USER.ZS],"2021 [YR2021] - Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",2021 [YR2021] - Population density (people per sq. km of land area) [EN.POP.DNST],2021 [YR2021] - Urban population (% of total population) [SP.URB.TOTL.IN.ZS],2021 [YR2021] - Population growth (annual %) [SP.POP.GROW],"2021 [YR2021] - Current education expenditure, total (% of total expenditure in public institutions) [SE.XPD.CTOT.ZS]",2021 [YR2021] - Trade (% of GDP) [NE.TRD.GNFS.ZS]
Lithuania,LTU,36.7,23870.4594851722,..,74.0365853658537,4.68354420903453,86.93054425,7.112,44.8551349624661,68.1912117004395,-0.070798680741267,92.7231674194336,154.80672767597
Luxembourg,LUX,32.7,134965.815442152,..,82.5975609756098,2.52692009066166,98.66086333,5.571,248.62068161867,94.5861743396533,1.51834936706612,89.0982666015625,397.506180867971
"Macao SAR, China",MAC,..,44884.8961602393,..,83.7292682926829,0.0264543647055504,88.46810492,2.221,20681.8181818182,100,-0.424008238139362,88.8385696411133,171.31597082054
Madagascar,MDG,36.8,483.469463351195,74.6900024414062,62.516,5.81225118787715,13.74590015,3.498,51.0331436919904,31.1137123216036,2.51537360931706,..,55.2158585927485
Malawi,MWI,..,617.446994451007,..,64.782,9.33014410835212,15.30300045,5.652,212.635320322444,16.4881925800694,2.59415828794597,..,44.5957618170542
Malaysia,MYS,40.7,10903.1037480772,..,73.917,2.47710241465447,96.7514278,4.64,104.344541165728,75.5088628191907,1.15251304394292,94.4077072143555,134.035994690727
Maldives,MDV,..,10176.143882547,..,78.052,0.543149688737013,81.95760345,5.016,1720.51333333333,40.7398648710483,2.75700187362712,..,142.607296696261
Mali,MLI,35.7,1027.27345365357,..,59.116,3.92560283104277,33.95650101,4.006,18.348478515641,29.7049638253978,3.06035796580474,97.9596099853516,56.7150525565465
Malta,MLT,31.6,38096.8360735119,..,82.2585365853659,1.49789217934724,87.46977742,3.754,1619.21875,95.5145343617045,0.51468710034629,88.6168212890625,220.165634087757
Marshall Islands,MHL,..,6315.31279603534,95.7629302411191,65.421,..,63.97259903,..,229.816666666667,77.6163157431143,-3.18559640580083,..,120.056180461081
Mauritania,MRT,..,1947.78918383313,..,66.762,3.56516484650185,35.63660049,11.131,4.59384301930727,57.901535141641,2.88703345850902,..,88.3068737571235
Mauritius,MUS,..,9177.71195973013,92.9800213334339,73.680243902439,4.02852888157376,71.59999847,7.719,634.118177265899,39.077147315722,0.0252729878913446,..,135.19300461461
Mexico,MEX,..,10314.0506722115,95.6890981310362,69.75,5.68920847683753,75.62650476,4.019,65.664316469045,78.9324007418057,0.66740537533078,97.7550430297852,83.0692976357895
"Micronesia, Fed. Sts.",FSM,..,3508.22314197664,..,66.152,3.19128406597466,..,..,159.462857142857,22.3928762855411,0.636292251926478,..,87.3335905673594
Moldova,MDA,25.7,5274.60582195352,..,68.991,5.10641129002835,74.91899872,0.794,90.3612977338393,41.8115425109863,-1.50342952349937,90.4945220947266,88.4708865399267
Monaco,MCO,..,223823.363960226,..,85.113,..,99.07759857,..,18487.0441458733,100,1.24582098923186,57.805549621582,..
Mongolia,MNG,..,4517.61578018785,99.2143568969301,71.6451219512195,7.35894657888155,81.60682285,7.871,2.17253662423347,69.2153244018555,1.684959051396,..,119.098078437771
Montenegro,MNE,34.3,9317.15520065156,..,73.8243902439024,2.41080198403165,82.21969752,16.543,46.4723420074349,65.3266031317675,-0.245597310506825,..,105.719249175045
Morocco,MAR,..,3785.93627929688,..,73.385,1.40195883962006,88.13031937,10.551,82.8017969975353,62.3173276600289,1.00691847923959,..,75.5234171756506
Mozambique,MOZ,..,509.907829475551,..,60.268,6.40847652975692,16.35759926,5.413,40.3212187492052,34.4499259401554,2.9577768101764,..,112.078964458333
Myanmar,MMR,..,1242.7213439951,..,65.553,..,..,4.34,81.7980020531049,30.2368812529698,0.696558038955431,..,..
Namibia,NAM,..,4412.8355693052,..,60.85,3.61690530108814,60.25999832,20.931,3.41380072635402,49.0571881483796,2.95314556354467,..,83.5443030923624
Nauru,NRU,..,14979.099896799,94.6337926033357,61.331,..,80.29499817,..,585.45,100,0.565263581170869,..,110.796255319149
Nepal,NPL,..,1252.75076731986,..,68.385,4.12676744440695,40.98910141,12.241,205.61569584932,66.144235274522,1.74002411752275,..,43.0538047919129
Netherlands,NLD,25.7,60141.9880911492,..,81.309756097561,2.67572008805385,92.05298013,4.209,520.731927531928,94.6294783220315,0.523490508168757,88.4480667114258,163.154842689698
New Caledonia,NCL,..,35311.5543551452,..,77.113,..,..,11.574,15.6025164113786,67.4130776539646,0.364601116942216,..,49.0442343110991
New Zealand,NZL,..,49950.4251691316,..,82.2073170731707,3.94112060778728,91.99060059,3.776,19.3103186358285,83.8299382585905,0.240228529431089,..,48.5412477650846
Nicaragua,NIC,..,2138.38588469449,..,70.478,4.92841396948968,51.62039948,6.076,55.2163952135616,58.8592529296875,1.20325375827905,..,106.20739081994
Niger,NER,32.9,608.722439593808,..,59.542,3.8378680284051,12.45689964,0.806,19.3432857030078,17.2295936666686,3.25425239869281,..,37.0158935503713
Nigeria,NGA,..,2787.48779224428,63.1599998474121,53.455,16.9528457221608,35.50979996,5.404,239.939047179859,60.5698545383604,2.09618685225463,..,..
